,artist,title,year,groundtruth,height,width
N01016,Sir Peter Lely,Girl with a Parrot,1670,P,1245,1016
N05864,Joseph Highmore,Mr Oldham and his Guests,1735,P,1055,1295
T06660,Benjamin Ferrers,Three Ladies of the Leman Family and their Dogs on a Terrace,1728,O,830,1310
T03368,André Derain,Madame Derain in a White Shawl,1919,P,1955,975
N04784,André Derain,Landscape near Barbizon,1922,L,708,727
N01823,John Constable,The Glebe Farm,1830,L,597,781
T00788,Edward Williams,A Village Forge: Moonlight,1845,L,308,457
N01894,George Frederic Watts and assistants,The Court of Death,1870,O,4285,2740
T03869,Joseph Mallord William Turner,Narcissus and Echo,1804,L,865,1170
T05723,Brice Marden,Couplet III,1988,O,2740,1520
N05218,Augustus John OM,W.B. Yeats,1907,P,508,457
T01336,Gerardo Dottori,Explosion of Red on Green,1910,O,492,695
N01585,George Frederic Watts,Psyche,1880,O,1886,597
N02425,Joseph Mallord William Turner,"A Wreck, with Fishing Boats",1840,L,914,1222
N04942,Sir Stanley Spencer,"Rickett’s Farm, Cookham Dene",1938,O,660,1168
T05494,Allan Ramsay,"Thomas, 2nd Baron Mansel of Margam with his Blackwood Half-Brothers and Sister",1742,P,1245,1003
N05172,James Pryde,The Doctor,1909,O,857,719
N05630,Henry Lamb,Death of a Peasant,1911,O,368,318
T13897,Uzo Egonu,Woman in Grief,1968,O,482,1202
T03880,Joseph Mallord William Turner,"Petworth, Sussex, the Seat of the Earl of Egremont: Dewy Morning",1810,L,915,1205
N05144,Alfred Sisley,The Path to the Old Ferry at By,1880,L,700,848
T11915,Wilhelm Sasnal,Untitled (a),2004,O,1400,1400
T13845,Per Kirkeby,Composition,1978,O,2093,1679
N05883,Sir William Coldstream,Inez Spender,1937,P,770,1018
T00004,Bernard Buffet,Portrait of the Artist,1954,P,1464,1140
T11900,Richard Parkes Bonington,French Coast with Fishermen,1824,L,643,967
N04874,Richard Wilson,"The Thames near Marble Hill, Twickenham",1762,L,464,730
N03628,Sir William Orpen,Sir William McCormick,1920,P,1270,1016
T00372,Jankel Adler,The Mutilated,1942,O,864,1118
T07946,Dan Hays,"Colorado Impression 11b (after Dan Hays, Colorado)",2002,L,1529,2035
N05765,Duncan Grant,James Strachey,1910,P,635,762
N04264,Philip Wilson Steer,Sleep,1898,O,895,1321
T00855,Richard Smith,Vista,1963,O,2132,3174
N01667,George Romney,Mrs Johnstone and her Son (?),1775,P,895,705
N03549,Sir William Orpen,Lady Orpen,1907,P,972,864
N00391,George Jones,Battle of Borodino,1829,L,1219,2134
T13803,Jack Whitten,Epsilon Group II,1977,O,1613,1613
N05265,Benjamin West,Lady Beauchamp-Proctor,1778,P,1264,1003
T14838,Cecilia Vicuña,Violeta Parra,1973,P,581,481
T04162,Gilbert Soest,"Portrait of a Gentleman with a Dog, Probably Sir Thomas Tipping",1660,P,939,1149
A00837,Sir Joshua Reynolds,The Holy Family with the Infant St John,1788,O,1981,1492
T14386,Theodor von Holst,The Bride,1842,P,923,713
N04221,Charles Conder,Springtime,1892,L,730,593
T11787,Clive Branson,Portrait of a Worker,1930,P,610,250
N00313,Samuel Scott,A View of London Bridge before the Late Alterations,1758,L,286,546
T02141,R.B. Kitaj,The Orientalist,1976,P,2438,768
N04151,Arthur Boyd Houghton,Mother and Children Reading,1860,O,305,248
N02654,John Constable,Dedham from Langham,1813,L,137,190
N00813,Sir Augustus Wall Callcott,Sheerness and the Isle of Sheppey (after J.M.W. Turner),1807,L,698,895
T00318,David Bomberg,Lilian,1932,P,762,559
T03884,Joseph Mallord William Turner,"The Lake, Petworth: Sunset, a Stag Drinking",1829,L,635,1320
N00229,Gilbert Stuart,"Benjamin West, P.R.A.",1781,P,895,698
T14281,Sylvia Sleigh,Paul Rosano Reclining,1974,O,1389,1945
N04259,Paul Nash,Behind the Inn,1919,L,635,762
N01564,"Sir John Everett Millais, Bt",A Disciple,1895,P,1250,895
T00885,Sir Peter Lely,Man Playing a Pipe,1648,P,1428,1055
T14504,Adrian Ghenie,The Black Flag,2015,O,2000,2001
N04777,Thomas Gainsborough,"John Needham, 10th Viscount Kilmorey",1768,P,2337,1562
T00727,Thomas Gainsborough,Edward Richard Gardiner,1760,P,622,502
N02761,Samuel Butler,Mr Heatherley’s Holiday: An Incident in Studio Life,1874,O,921,708
T01199,Richard Smith,Panatella,1961,O,2466,3222
T07740,William Roberts,Deposition from the Cross,1926,O,495,591
N05432,Oskar Kokoschka,Ambassador Ivan Maisky,1942,P,1019,768
N05929,Augustus John OM,Matthew Smith,1944,P,610,508
T07132,Philip Guston,Hat,1976,O,2032,2921
T12820,Nigel Cooke,New Accursed Art Club,2007,O,2202,3702
N01969,Henriette Browne,A Greek Captive,1863,P,1218,1015
T03447,Edward Arthur Walton,Berwickshire Field-workers,1884,O,914,609
N03135,Alphonse Legros,Rehearsing the Service,1870,P,914,1168
N06222,Sir Godfrey Kneller,Elijah and the Angel,1672,O,1765,1486
N03565,Augustus John OM,Rachel,1917,P,762,635
N01535,Frank Holl,Hush!,1877,O,343,445
N01487,Johan Zoffany,Thomas Gainsborough,1772,P,197,171
T02217,Johan Zoffany,Mrs Woodhull,1770,P,2438,1651
T00136,Nicolas de Stael,Marathon,1948,O,803,648
T05019,Sir Godfrey Kneller,Portrait of John Banckes,1676,P,1372,1016
T07401,Hans Hartung,T1982-E15,1982,O,1850,3000
T03438,Thomas Weaver,"Thomas Morris’s Sheep Show at Barton-on-Humber, Lincolnshire",1810,O,1028,1286
N01989,Joseph Mallord William Turner,Rocky Bay with Figures,1827,L,902,1232
N03467,Alfred Stevens,Mrs Elizabeth Young Mitchell and her Baby,1851,P,635,762
N05148,Sir Stanley Spencer,Daphne,1940,P,610,508
T07730,Charles Spencelayh,"War or No War, Who Cares?",1944,P,498,382
N01515,Briton Riviere,The Miracle of the Gaderene Swine,1883,O,1079,1607
T03464,Mabel Nicholson,The Harlequin,1910,P,1018,643
N01941,"Sir John Everett Millais, Bt","Sir Henry Thompson, Bt",1881,P,1257,914
N04540,John Henry Lorimer,"Sir Robert Lorimer, A.R.A., as a Boy",1875,P,546,381
T03223,John Lessore,Annonciade,1961,P,1022,1276
T04944,Joseph Highmore,Equestrian Portrait of King George II,1743,O,750,630
T13024,Harold Gilman,Madeleine Knox,1910,P,608,454
N00898,Sir Charles Lock Eastlake,Lord Byron’s ‘Dream’,1827,L,1181,1708
T04166,David Bomberg,Nude,1943,O,915,715
T13342,Aubrey Williams,Tribal Mark II,1961,O,762,1015
N00332,Sir David Wilkie,"The Peep-o’-Day Boys’ Cabin, in the West of Ireland",1835,O,1257,1753
N05143,Maurice Utrillo,Le Passage Cottin,1910,O,540,730
N05914,Walter Richard Sickert,"St Mark’s, Venice (Pax Tibi Marce Evangelista Meus)",1896,O,908,1200
T02247,John Nash,A Path through Trees,1915,L,508,610
N02060,John Linnell,"Harvest Home, Sunset: The Last Load",1853,L,883,1473
T07562,Arthur Lemon,The Wooing of Daphnis,1881,L,852,1200
N04443,Duncan Grant,South of France,1922,L,648,806
T00101,Roger Fry,Still Life: Flowers,1912,O,965,610
N03390,Edgar Degas,Head of a Woman,1874,P,321,267
N06133,David Bomberg,Flowers,1943,O,914,718
T03228,Edward Wolfe,P.C. 77,1927,P,1076,781
N01223,Samuel Scott,An Arch of Old Westminster Bridge,1750,L,270,397
T02391,Gordon Onslow-Ford,A Present for the Past,1942,O,1013,1213
T00162,John Minton,Street and Railway Bridge,1946,O,457,610
T03964,Jacob Kramer,George Parker,1928,P,764,637
T00138,Augustus John OM,Edward Grove,1940,P,610,406
N00309,Thomas Gainsborough,Boy Driving Cows near a Pool,1786,L,584,762
T01452,Philip James De Loutherbourg,The Battle of the Nile,1800,O,1524,2140
T06499,Michael Dahl,Portrait of Mrs Haire,1701,P,768,639
T03251,Francis Cotes,"Anna Maria Astley, Aged Seven, and her Brother Edward, Aged Five and a Half",1767,P,2000,1603
T07991,Bryan Wynter,Riverbed,1959,O,1524,1220
N03830,Antoine Villard,Circuit Railway at Grenelle,1922,L,921,730
N00889,Sir Joshua Reynolds,Self-Portrait when Young,1753,P,737,616
N02787,Julius Olsson,Moonlit Shore,1911,L,1175,1537
N01926,Sir David Murray,In the Country of Constable,1903,L,1219,1829
N06239,Stanislawa De Karlowska,Swiss Cottage,1914,O,609,765
T13440,Adam de Colone,"Portrait of Lady Margaret Livingstone, 2nd Countess of Wigtown",1625,P,1143,846
T07477,Sir Hubert Von Herkomer,Portrait of Lady Tate,1899,P,1505,1170
T07413,Luc Tuymans,Illegitimate I,1997,O,2101,1311
N00536,Joseph Mallord William Turner,Fishing Boats Bringing a Disabled Ship into Port Ruysdael,1844,L,914,1232
T02258,John Quinton Pringle,Portrait of the Artist’s Elder Brother - Christopher Nisbet Pringle,1890,P,457,305
N02961,George Robert Lewis,"Hereford, Dynedor and the Malvern Hills, from the Haywood Lodge, Harvest Scene, Afternoon",1815,L,416,597
T00901,Jacob Huysmans,"Portrait of a Lady, as Diana",1674,P,1197,1013
N05357,Alfred William Hunt,Cwm Trefaen,1855,L,612,915
N03448,Sir Arnesby Brown,The Line of the Plough,1919,L,635,762
T12143,Willem Wissing,Portrait of Henrietta and Mary Hyde,1683,P,1530,1120
N02068,Joseph Mallord William Turner,"The Arrival of Louis-Philippe at the Royal Clarence Yard, Gosport, 8 October 1844",1844,L,902,1206
N04493,John Roddam Spencer Stanhope,The Wine Press,1864,O,940,667
N01901,Sir James Jebusa Shannon,The Flower Girl,1900,P,838,660
T00294,Duncan Grant,The Kitchen,1902,O,508,406
N04917,Sir Alfred East,Golden Autumn,1900,L,1225,1530
T03451,Prunella Clough,Wire and Demolition,1982,O,1520,1670
N05836,Jack Butler Yeats,"The Death of Diarmuid, the Last Handful of Water",1945,O,610,914
T00794,Joseph Wright of Derby,"Thomas Staniforth of Darnall, Co. York",1769,P,930,775
N05440,Sir Matthew Smith,The Young Actress,1943,P,756,635
N00754,Sir Joshua Reynolds,Mr Huddesford and Mr Bampfylde,1778,P,1251,997
T07432,Lisa Milroy,Girl,1998,P,1066,1167
T13443,Cecil Gordon Lawson,The Hop-Gardens of England,1874,L,1537,2134
T03103,Arthur Devis,Breaking-Up Day at Dr Clayton’s School at Salford,1738,O,1207,1746
T12133,Richard Dadd,Wandering Musicians,1878,O,610,510
N01208,J.W. Chandler,William Godwin,1798,P,749,622
T07427,Paul Winstanley,TV Room V,1997,O,1900,2080
N05865,Rex Whistler,Self-Portrait,1933,P,406,368
N03728,"Unknown artist, Britain",Mrs Cadoux,1770,P,2127,1359
TW0781,Joseph Mallord William Turner,Fall of the Clyde,1845,L,890,1195
T02369,John Nost Sartorius,The Earl of Darlington Fox-Hunting with the Raby Pack: Going to Cover,1805,O,714,914
N03554,Sir Alfred Munnings,Epsom Downs - City and Suburban Day,1919,O,794,1283
N05330,Dame Laura Knight,The Gypsy,1939,P,610,406
N05281,Arthur Devis,The James Family,1751,O,984,1245
N01596,Sir Ernest Albert Waterlow,Galway Gossips,1887,L,762,1276
N02704,Joseph Mallord William Turner,Goring Mill and Church,1806,L,857,1162
N01452,George Stubbs,A Grey Hunter with a Groom and a Greyhound at Creswell Crags,1762,L,445,679
T07130,Sir William Blake Richmond,Portrait of Mrs Ernest Moon,1888,P,1275,1020
N05991,Fernand Léger,Playing Card and Pipe,1928,O,600,918
N05075,Duncan Grant,"Landscape, Sussex",1920,L,457,762
T03301,Charles Collins,Lobster on a Delft Dish,1738,O,705,910
T14034,Cathy Wilkes,Daddy Resting,2009,O,205,255
N01636,George Frederic Watts,Jonah,1894,O,1555,914
N01773,Thomas J. Somerscales,Off Valparaiso,1899,L,965,1803
N03712,John Singer Sargent,"Hylda, Almina and Conway, Children of Asher Wertheimer",1905,P,1880,1333
N01435,Sir Henry Raeburn,Lieut-Colonel Bryce McMurdo,1800,O,2400,1480
T05766,John Lessore,Sunday,1985,O,1530,2449
N05644,Benjamin Robert Haydon,Chairing the Member,1828,O,1745,2150
T03841,Charles Ginner,Victoria Embankment Gardens,1912,O,664,461
T00605,Mark Gertler,Queen of Sheba,1922,P,940,1073
T02133,Raoul Dufy,The Baou de Saint-Jeannet,1923,L,645,806
N01912,William Collins,Sunday Morning,1836,L,813,1067
N05398,Edward Calvert,Nude Study,1830,P,514,378
T00610,David Bomberg,Barges,1919,O,597,775
T03868,Joseph Mallord William Turner,Ships Bearing up for Anchorage (‘The Egremont Seapiece’),1802,L,1120,1830
TW0532,Joseph Mallord William Turner,Life-Boat and Manby Apparatus Going Off to a Stranded Vessel Making Signal (Blue Lights) of Distress,1831,L,914,1220
T00339,Sir William Coldstream,Winifred Burger,1937,P,790,562
N00543,Joseph Mallord William Turner,Returning from the Ball (St Martha),1846,L,616,924
N05246,John Singer Sargent,"Colonel Ian Hamilton, CB, DSO",1898,P,1384,787
N01494,"Sir John Everett Millais, Bt",The Yeoman of the Guard,1876,P,1397,1118
N00351,William Collins,Happy as a King (replica),1836,O,711,914
T00256,Claude Venard,Still Life,1955,O,1003,1003
N03545,Sir Joshua Reynolds,Sir James Hodges,1765,P,1270,1016
N05293,Auguste Renoir,Head of a Girl,1898,P,270,200
T00592,John Nash,"Mill Building, Boxted",1962,L,711,813
N05311,Mark Gertler,The Servant Girl,1923,P,635,470
N04619,William Dobson,Portrait of an Officer,1645,P,1022,762
T02378,John Wootton,Lady Mary Churchill at the Death of the Hare,1748,O,1060,1556
T06675,Aubrey Williams,Olmec Maya - Now and Coming Time,1985,O,1190,1780
N05038,Dame Ethel Walker,Vanessa,1937,P,610,508
N05314,Walter Richard Sickert,"Interior of St Mark’s, Venice",1895,O,698,492
N03179,Lucien Pissarro,"High View, Fish Pond",1915,L,533,648
N04779,Max Liebermann,Self-Portrait,1934,P,921,733
T00962,Patrick Heron,"Scarlet, Lemon and Ultramarine : March 1957",1957,O,610,1829
N04690,Thomas Gainsborough,"Admiral Sir Charles Thompson, Bt",1774,P,1270,1016
T07980,Peter de Francia,The Emigrants,1964,O,1065,1823
T03882,Joseph Mallord William Turner,Teignmouth,1812,L,900,1205
T07136,Sir William Orpen,Anita,1905,P,760,557
N04731,"Frederic, Lord Leighton",Mrs John Hanson Walker,1867,P,464,413
N02120,William Holman Hunt,The Ship,1875,O,762,978
N04598,Walter Greaves,Old Battersea Bridge,1874,L,584,762
T03095,Adolph Gottlieb,Labyrinth No. 2,1950,O,914,1219
T00615,Charles Wellington Furse,Field-Marshal Earl Roberts on his Charger ‘Vonolel’,1893,O,914,705
N05507,Joseph Mallord William Turner,The Vision of Jacob’s Ladder (?),1830,L,1232,1880
N03670,Edward Stott,Changing Pastures,1893,L,705,876
N04893,Glyn Warren Philpot,Mrs Gerard Simpson,1937,P,978,244
T03191,Kenneth Martin,"Chance, Order, Change 12 (Four Colours)",1980,O,911,914
T03700,Keith Vaughan,Ninth Assembly of Figures (Eldorado Banal),1976,O,1150,1530
T02323,Leon Underwood,Casement to Infinity,1930,O,762,635
N02694,Joseph Mallord William Turner,"House beside the River, with Trees and Sheep",1806,L,905,1165
T00674,Stephen Slaughter,Sir George Lee,1753,P,762,635
N01948,Sir Edward Poynter,Outward Bound,1886,O,495,495
N06024,Paul Nash,Voyages of the Moon,1934,O,711,540
N04848,Charles Henry Malcolm Kerr,The Visitor,1905,P,762,321
N05268,Augustus John OM,A Canadian Soldier,1918,P,730,540
N04897,Ronald Ossory Dunlop,"Lifeboat, Walberswick",1936,L,1016,1270
N04557,George Frederic Watts,Nymphs and Satyrs,1840,O,298,349
N05514,Joseph Mallord William Turner,The Harbour of Brest: The Quayside and Château,1826,L,1727,2235
N00407,Clarkson Frederick Stanfield,"The Canal of the Guidecca, and the Church of the Gesuati, Venice",1836,L,610,902
N02995,Charles Shannon,Mrs Patrick Campbell,1907,P,1226,1086
T01208,Thomas Hickey,Dr John Heath,1779,P,746,622
T02361,John Frederick Herring,"Birmingham with Patrick Conolly Up, and his Owner, John Beardsworth",1830,O,559,762
T07131,Philip Guston,Head I,1965,O,1828,1981
N03833,Edgar Degas,Head of a Woman,1873,P,175,197
T00313,Frank Auerbach,E.O.W. Nude,1953,O,508,768
N04449,George Frederic Watts,Mrs Arthur Sassoon,1882,P,660,533
N01985,Joseph Mallord William Turner,"Sunrise, a Castle on a Bay: ‘Solitude’",1840,L,908,1219
TW0947,Joseph Mallord William Turner,Seascape with a Squall Coming Up,1803,L,457,610
N00496,Joseph Mallord William Turner,"Fishing upon the Blythe-Sand, Tide Setting In",1809,L,889,1194
N00507,Joseph Mallord William Turner,Boccaccio Relating the Tale of the Bird-Cage,1828,O,1219,899
N00217,Gilbert Stuart,William Woollett the Engraver,1783,P,902,705
T03568,Henri Matisse,Cap d’Antibes,1922,L,506,612
T01849,Kenneth Martin,"Chance and Order, Change 6 (Monastral Blue)",1972,O,914,914
T00396,Adrian Heath,Painting Brown and Black,1960,O,1270,1016
T00278,Jean Cooke (Jean Bratby),Self-Portrait,1958,P,1149,838
T01450,John Henry F. Bacon,Michael Lewis Myers,1906,P,702,832
T11977,Andrea Soldi,"Portrait of Henry Lannoy Hunter in Oriental Dress, Resting from Hunting, with a Manservant Holding Game",1733,O,1185,1460
T11923,Alice Neel,Kitty Pearson,1973,O,1522,765
N03838,Charles Ginner,Porthleven,1922,O,508,692
T01683,David Bomberg,"Jerusalem, Looking to Mount Scopus",1925,L,565,752
N04668,Alan Beeton,Decomposing,1929,O,343,394
N05107,Alfred R. Thomson,Sister Fry,1939,P,762,635
N02939,Alfred Stevens,William Blundell Spence,1851,P,613,508
N04422,Philip Wilson Steer,Mrs Cyprian Williams and her Two Little Girls,1891,P,762,1022
N04490,George Romney,Mrs John Matthews,1786,P,1251,1003
N04675,Spencer Gore,Letchworth,1912,L,509,612
N03218,Glyn Warren Philpot,A Young Breton,1917,P,1270,1016
N05771,Rodrigo Moynihan,Still Life with Skull,1945,O,686,559
T02261,Thomas Gainsborough,Sir Benjamin Truman,1770,P,2378,1514
T04170,William Davis,A Day’s Sport at Bidston Hill,1865,L,301,401
N02674,John Crome,The Poringland Oak,1818,L,1251,1003
T00117,John Craxton,Hotel by the Sea,1946,L,495,610
T01706,Richard Wilson,Tivoli; Temple of the Sibyl and the Campagna,1765,L,1003,1257
T03954,Paule Vézelay,Curves and Circles,1930,O,920,730
T00888,Francis Sartorius,A Black Horse with Two Dogs,1793,O,346,416
N05714,Rodrigo Moynihan,"Private Clarke, A.T.S.",1943,P,457,356
T01971,William Hogarth,"Thomas Herring, Archbishop of Canterbury",1744,P,1270,1015
T06897,Benedetto Gennari,"Elizabeth Panton, Later Lady Arundell of Wardour, as Saint Catherine",1689,P,1250,1021
N00100,John Singleton Copley,"The Collapse of the Earl of Chatham in the House of Lords, 7 July 1778",1779,O,2286,3073
N01838,Harry William Adams,Winter’s Sleep,1900,L,1226,1841
TW0533,Joseph Mallord William Turner,"St Michael’s Mount, Cornwall",1834,L,610,774
N02287,George Smith of Chichester,Classical Landscape,1760,L,305,432
N00143,Sir Joshua Reynolds,Lord Ligonier,1760,P,2812,2357
T00261,Ivon Hitchens,"Woodland, Vertical and Horizontal",1958,O,514,1168
T03865,Tristram Hillier,Variation on the Form of an Anchor,1939,O,1502,1092
N01857,Joseph Mallord William Turner,River Scene with Cattle,1808,L,1283,1740
N01583,Marcus Stone,Il y en a toujours un autre,1882,O,1537,705
N00563,Thomas Seddon,Jerusalem and the Valley of Jehoshaphat from the Hill of Evil Counsel,1854,L,870,1030
T01893,Allan Ramsay,Miss Ramsay in a Red Dress,1760,P,759,632
T02366,James Pollard,"The Royal Mail Coaches for the North Leaving the Angel, Islington",1827,O,1032,1464
N04543,Sir Alfred Munnings,From My Bedroom Window,1930,L,914,1016
T12883,David Hockney,The Berliner and the Bavarian,1962,O,921,1226
N00760,Formerly attributed to Thomas Gainsborough,"‘The Parish Clerk’ (Edward Orpin, Parish Clerk of Bradford-upon-Avon)",1760,P,1219,978
T00417,Alan Davie,Entrance for a Red Temple No. 1,1960,O,2134,1727
N01943,Francis Cotes,Paul Sandby,1761,P,1251,1003
T03901,John Constable,Golding Constable,1815,P,759,632
T01560,John Brett,Florence from Bellosguardo,1863,L,600,1013
T00910,David Bomberg,"Tregor and Tregoff, Cornwall",1947,L,870,1073
T03537,Pierre Roy,"Boris Anrep in his Studio, 65 Boulevard Arago",1949,O,653,501
N01477,John William Inchbold,"The Moorland (Dewar-stone, Dartmoor)",1854,L,356,533
N03317,Arthur Devis,Portrait of a Lady,1750,P,610,406
T07440,Reginald Brill,Rest,1956,O,1708,2139
T01123,Vanessa Bell,Helen Dudley,1915,P,724,610
T00747,Olle Baertling,Ardek,1963,O,1949,968
T13019,Paul Winstanley,Woman at a Window 2,2003,O,1350,1550
TW0840,Joseph Mallord William Turner,The Festival upon the Opening of the Vintage of Macon,1803,L,1460,2375
T07917,Boris Taslitzky,Study for ‘The Death of Danielle Casanova’,1949,O,811,1303
T00164,Walter Richard Sickert,Harold Gilman,1912,P,610,457
T00057,John Riley,James Sotheby,1690,P,1270,1027
T14646,Sir Joshua Reynolds,"Frederick Howard, 5th Earl of Carlisle",1769,P,2400,1475
T07218,Philip Reinagle,Members of the Carrow Abbey Hunt,1780,O,1170,1550
T00759,Philip Mercier,A Girl Sewing,1750,P,760,635
N05634,Attributed to John Scarlett Davis,Man in a Top Hat,1838,P,635,527
T01584,Alan Davie,Fairy Tree No. 5,1971,O,1727,2134
N04378,The Hon. John Collier,Mrs Huxley,1927,P,610,508
N01956,Robert Brough,Fantaisie en Folie,1897,P,1022,1257
N05789,Richard Parkes Bonington,Venice: Ducal Palace with a Religious Procession,1828,L,1143,1626
T13292,Zhang Enli,Bucket 3,2007,O,1003,1000
N01684,James Webb,"Mont St Michel, Normandy",1857,O,1511,2429
N00431,Edward Matthew Ward,"The Disgrace of Lord Clarendon, after his Last Interview with the King - Scene at Whitehall Palace, in 1667 (replica)",1846,O,533,737
N01775,Alfred Stevens,"Mary Ann, Wife of Leonard Collman",1854,P,705,552
N02957,Philip Alexius de László,Lady Wantage,1911,P,955,745
N02215,Charles Henry Malcolm Kerr,Myself,1899,P,1372,914
T00401,Thomas Hudson,Mrs Sarah Ingram,1750,P,1270,1016
N06177,Carel Weight,The Rendezvous,1953,O,860,1110
T03870,Joseph Mallord William Turner,Windsor Castle from the Thames,1805,L,910,1220
T03874,Joseph Mallord William Turner,The Confluence of the Thames and the Medway,1808,L,910,1220
N01681,Daniel Turner,View of St Paul’s from the Thames,1790,L,591,749
T00899,Jan Siberechts,"Landscape with Rainbow, Henley-on-Thames",1690,L,819,1029
N00183,Thomas Phillips,"Sir David Wilkie, R.A.",1829,P,997,762
T03120,Victor Pasmore,Roses in a Jar,1947,O,610,457
N01826,John Opie,Portrait of the Artist,1790,P,406,330
T13581,Simon Ling,Untitled,2010,L,1504,2005
T03090,Allen Jones,The Battle of Hastings,1961,O,1829,1829
N04364,Sylvia Gosse,Walter Richard Sickert,1923,P,508,305
N01561,George Frederic Watts,Self-Portrait,1864,P,648,521
N05116,George Frederic Watts,"Eveleen Tennant, later Mrs F.W.H. Myers",1880,P,1003,711
N06028,Dame Ethel Walker,"The Artist’s Stepmother, Mrs Arthur Walker",1899,P,1118,864
N03685,Dame Ethel Walker,Miss Buchanan,1922,P,762,368
N00495,Joseph Mallord William Turner,Apullia in Search of Appullus,1814,L,1485,2410
T01880,Graham Sutherland OM,Lord Goodman,1973,P,959,959
N01146,Sir Henry Raeburn,Mrs Downey,1787,P,2375,1499
N04082,John Jackson,Sir Henry Webb,1825,P,915,710
N05999,Emil Fuchs,Sir Joseph Duveen,1903,P,1676,1060
N02259,Sir George Clausen,The Gleaners Returning,1908,O,838,660
TW0579,Joseph Mallord William Turner,Thomson’s Aeolian Harp,1809,L,1667,3060
N02641,George Morland,Roadside Inn,1790,L,511,664
A00741,Charles Robert Leslie,Head of Prince Hal,1851,P,140,102
N01606,Charles Edward Johnson,"The Swineherd: Gurth, Son of Beowulph",1879,L,1410,2121
T04121,Francesco Zuccarelli,A Landscape with the Story of Cadmus Killing the Dragon,1765,L,1264,1572
T03029,"Unknown artist, Britain","Portrait of Sir Thomas Pope, Later 3rd Earl of Downe",1635,P,2026,1194
T03873,Joseph Mallord William Turner,The Thames at Eton,1808,L,605,905
N05489,Attributed to Joseph Mallord William Turner,Landscape with Windmill and Rainbow (partly after Gainsborough),1795,L,705,902
N03027,Joseph Mallord William Turner,Lake Nemi,1827,L,603,997
T03879,Joseph Mallord William Turner,Cockermouth Castle,1810,L,605,900
N01952,Henri Fantin-Latour,Mr and Mrs Edwin Edwards,1875,P,1308,981
T03203,Douglas Percy Bliss,"Gunhills, Windley",1946,L,762,1016
N00304,Richard Wilson,Lake Avernus and the Island of Capri,1760,L,470,724
TW1071,Joseph Mallord William Turner,The Fifth Plague of Egypt,1800,L,1244,1830
N02958,Joseph Mallord William Turner,Sketch for ‘Ulysses Deriding Polyphemus’,1827,L,600,892
N04600,Henry Tonks,Spring Days,1928,O,864,813
T12130,Wilhelm Sasnal,Untitled (a),2004,O,241,299
N04603,Dante Gabriel Rossetti,St Catherine,1857,O,345,250
T03848,Claude Rogers,Cornfields at Somerton,1961,L,1016,1266
T03076,William Roberts,L’Algérienne,1962,P,511,410
T01140,William Edwards Millner,A Wayside Gossip,1872,O,378,502
T06666,Martin Bradley,Personnage Jaune,1954,O,760,507
N02664,Richard Parkes Bonington,A Distant View of St-Omer,1824,L,314,438
N02706,Joseph Mallord William Turner,Willows beside a Stream,1805,L,860,1162
N03387,Joseph Mallord William Turner,Italian Landscape with Bridge and Tower,1827,L,603,981
N04473,Annie Louisa Swynnerton,The Convalescent,1887,P,571,635
N01595,William Small,The Last Match,1887,O,1308,1003
T13567,Anwar Jalal Shemza,Meem Two,1967,O,915,915
N01328,After Samuel Scott,A View of the Thames with the York Buildings Water Tower,1760,L,603,1095
N05635,Sir Joshua Reynolds,The Thames from Richmond Hill,1788,L,910,1105
N06066,Allan Ramsay,Lady Hall of Dunglass,1752,P,1268,1011
N05071,Othon Friesz,Woman at a Window,1919,P,730,600
N01968,Edward William Cooke,"Boat, near Venice",1858,L,279,400
T04117,Nancy Carline,Supper on the Terrace,1946,O,610,765
N01290,Richard Wilson,"Landscape with Bathers, Cattle and Ruin",1770,L,584,749
T02325,Carel Weight,Clapham Junction,1978,O,708,908
N03514,Frederick Walker,The Old Gate,1869,L,1346,1683
N01076,"Unknown artist, Britain",Self-Portrait of an Unknown Artist at the Age of Twenty-two,1740,P,769,639
TW1209,Joseph Mallord William Turner,"The Seat of William Moffatt Esq., at Mortlake. Early (Summer’s) Morning",1826,O,930,1238
T06493,Sir Matthew Smith,Landscape near Antibes,1930,L,460,550
T01926,Henry Singleton,Palemon and Lavinia,1792,O,371,321
T00505,William Scott,Ochre Still Life,1958,O,864,1118
N04791,John Singer Sargent,Val d’Aosta,1908,L,921,978
T03436,James Pollard,Fly Fishing in the River Lee near the Ferry Boat Inn,1831,L,356,446
N04362,Mary McEvoy,Interior: Girl Reading,1901,P,533,438
T03292,William Johnstone,Golgotha,1927,O,1381,2416
T06872,Edward Halliday,Christian and Hopeful Arrive before the Celestial City,1926,O,912,1206
T01778,Roger Fry,"Landscape with Shepherd, near Villa Madama, Rome",1891,L,362,464
N04581,Henri Fantin-Latour,Self-Portrait,1860,P,314,254
N04702,Frederick Brown,Portrait of the Painter,1932,P,930,660
T07133,Michael Ayrton,Portrait of Wyndham Lewis,1955,P,805,1000
T00040,Henry Tonks,Sodales - Mr Steer and Mr Sickert,1930,O,349,460
L01140,Graham Sutherland OM,Portrait of Sir Charles Clore,1965,P,1080,940
T02388,George Stubbs,"Newmarket Heath, with a Rubbing-Down House",1765,L,302,419
N05052,John Singer Sargent,Sir Philip Sassoon,1923,P,952,578
N04542,Sir Walter Russell,Cordelia,1930,P,914,762
